name,artist_1,artist_2,uri,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
Endless Summer Slack Key,'Jeff Peterson',,spotify:track:2SYrCVy2PLeLQa4nHpVLOp,208893,0.298,0.211,2,-16.667,1,0.0362,0.98,0.937,0.112,0.355,74.887
Kapahulu Hula,'Jeff Peterson',,spotify:track:5faE1lvZOpPk6M2jmisUhv,203053,0.474,0.189,0,-17.53,1,0.0497,0.989,0.948,0.16,0.38,146.742
"Home, Land and Sea",'TrinityRoots',,spotify:track:3yjdSeRwZQUwnagvzMBlex,338548,0.489,0.238,2,-10.512,1,0.0297,0.754,0.000547,0.0871,0.0424,90.783
True,'TrinityRoots',,spotify:track:6wUTkZiiWe76ZqUROqHKoT,151293,0.476,0.0614,0,-23.299,0,0.0419,0.599,0.778,0.202,0.178,77.281
Sense And Cents,'TrinityRoots',,spotify:track:1dwxCaYpwGYQDf1ISGAd7p,743067,0.667,0.364,9,-14.123,0,0.0405,0.078,0.254,0.0917,0.647,143.02
Light,'Cornerstone Roots',,spotify:track:7K1srFuUIwBa4EJMJuIrUS,288973,0.715,0.199,10,-12.996,1,0.0636,0.533,0.0338,0.324,0.203,138.021
Stay With Me,'Furns',,spotify:track:6K8kXa0RgfJ2of1Iz0q5CP,394880,0.55,0.251,9,-9.125,0,0.0276,0.928,0.0988,0.0745,0.0577,119.944
Headz Gonna Roll,"'Lee ""Scratch"" Perry'", 'George Clinton',spotify:track:0nJ9SpkXLraJNFj9dZFgD6,280840,0.846,0.681,0,-5.308,1,0.267,0.469,8.01e-05,0.608,0.756,99.883
The Bellman's Speach,'Bajka',,spotify:track:6wLubfqFg34eYUpcqpXyo8,294307,0.661,0.509,2,-8.305,1,0.039,0.169,0.0225,0.105,0.539,80.002
Amado,'Vanessa Da Mata',,spotify:track:1h0f2T0DT3EVYnURyV8Rtu,249940,0.696,0.27,0,-10.493,1,0.0352,0.658,0.00137,0.0699,0.274,148.062
Os Grilos (Crickets Sing For Ana Maria),'Marcos Valle',,spotify:track:3SDagSDJckebZkgchGQS6U,135280,0.66,0.715,4,-10.46,0,0.0443,0.466,0.000128,0.125,0.898,93.426
Cool the Pepper,'The Upsessions',,spotify:track:70VvvOqQDa5UTL2omNAXa9,178747,0.831,0.697,7,-8.114,1,0.134,0.0917,0.0357,0.239,0.943,134.049
Kitty Bush,'The Upsessions',,spotify:track:4SHWctTGi6GDGMTwuVQBpC,182947,0.718,0.609,2,-6.771,1,0.108,0.146,0.00291,0.111,0.702,79.138
The Big Bamboo Treat,'The Upsessions',,spotify:track:6d33TUiWfLasj0gYGsi7hZ,174427,0.523,0.788,7,-6.028,1,0.101,0.0781,2.07e-06,0.532,0.965,175.089
(People Get Ready) Let's Do Rocksteady,'Dandy',,spotify:track:0cXepakgAtSLNcHz3WRbsE,167613,0.776,0.36,5,-8.917,1,0.0625,0.205,0.000129,0.0855,0.772,79.206
Poetry Man,'Zap Mama',,spotify:track:361Pxbwma23AsG7lt9vHNm,333240,0.744,0.527,2,-9.524,1,0.0745,0.0801,1.94e-05,0.0657,0.681,131.841
Tu Boca Es Espiral,'Pecker', 'Raúl Usieto',spotify:track:3XdE3J40Ssip1ELBaAfRyz,207213,0.778,0.534,7,-7.194,1,0.0434,0.462,4.04e-06,0.0733,0.525,99.509
Bandy Bandy (with Erykah Badu),'Zap Mama', 'Marie Daulne',spotify:track:0W28kc9aNS3OoGu88AGLko,409600,0.774,0.538,3,-7.326,0,0.0749,0.166,0.0537,0.0709,0.748,95.694
Maintenent,'Rupa & the April Fishes',,spotify:track:0yEzca33pBVZUaJbvjeJvD,247467,0.583,0.42,11,-10.214,0,0.138,0.633,0.000546,0.124,0.563,124.797
Nantucket Island,'Willie Wright',,spotify:track:1kwxZlmb5EQ1diJWpp9QfE,222213,0.476,0.607,4,-8.508,1,0.037,0.0237,0.00211,0.0906,0.927,171.44
Baby (Shoes) Dub,'Hollie Cook',,spotify:track:55JyjscpFteSyFl7VHAynZ,242480,0.792,0.827,11,-7.36,0,0.0406,0.00789,0.678,0.338,0.86,129.979
Milk & Honey Dub,'Hollie Cook',,spotify:track:3goau1Er7c3SVD7LDophKw,206120,0.73,0.691,4,-8.417,0,0.225,0.0631,0.408,0.0876,0.767,77.757
Win or Lose,'Hollie Cook',,spotify:track:2FxrptJegbXfrYoCxh2WtZ,270522,0.875,0.544,9,-9.683,0,0.0675,0.0828,0.0839,0.103,0.864,149.992
99,'Hollie Cook',,spotify:track:0ZkSEVvP9SWIRdZUkZUghH,383716,0.823,0.583,10,-9.204,0,0.0609,0.0655,0.121,0.414,0.63,127.202
Ari Up,'Hollie Cook',,spotify:track:3CFSzSB7FkoCPiVqxNT3Sa,249740,0.861,0.502,9,-9.678,0,0.0586,0.0909,0.00443,0.26,0.777,115.866
Love Is The Seventh Wave,'Sting',,spotify:track:7beKa08FNN5wJ3ZAv9B7yw,211250,0.334,0.644,7,-9.758,1,0.052,0.292,0.0,0.21,0.829,80.993
Iko Iko,'The Dixie Cups',,spotify:track:2xZPpUIcajScKX99PH0fD9,122344,0.918,0.489,9,-13.85,0,0.193,0.413,0.000655,0.0795,0.962,100.406
Dignificada,'Lila Downs',,spotify:track:5jRzAstjJuMwUP9P4Sj6Ng,226627,0.663,0.475,7,-8.01,1,0.185,0.215,0.0,0.161,0.483,82.481
Lay Back,'Nautic',,spotify:track:7617K7a8wClegTG1Uy9KYZ,226920,0.756,0.58,11,-9.325,1,0.0387,0.339,0.00197,0.0664,0.901,146.927
Keep Falling,'Fink',,spotify:track:0gZLpd9DcSNtOM6GGYGCec,269693,0.786,0.182,9,-14.3,1,0.0563,0.888,0.00451,0.11,0.403,105.821
Garota,'Erlend Øye',,spotify:track:0i0Av06zfNc7rcwMBo7CFn,264584,0.656,0.577,4,-9.725,0,0.0433,0.379,0.475,0.0785,0.751,157.644
Humbleness,'Alborosie',,spotify:track:55Ot1XRyxy743LyhtZiSh3,239973,0.71,0.615,0,-4.507,1,0.297,0.136,0.0,0.133,0.644,145.563
Just Thinking (feat. Chali 2na),'Slightly Stoopid', 'Chali 2na',spotify:track:4TshxhRTfQqDhQbXmTvY50,207560,0.623,0.745,9,-6.73,0,0.0317,0.0534,0.000364,0.212,0.878,150.04
Officer,'Slightly Stoopid',,spotify:track:5hMQwiVESWuNFgMXuAVtlk,231733,0.722,0.863,4,-4.501,1,0.108,0.536,0.00074,0.495,0.647,95.025
Wiseman,'Slightly Stoopid',,spotify:track:5lCRPA4XEg4VPbNu0lDHBA,146400,0.717,0.373,7,-7.185,1,0.061,0.735,0.0,0.303,0.538,138.513
Om Shakti Om,'Trevor Hall',,spotify:track:62OVODSYv5TFeEiEZT6atr,210987,0.828,0.308,11,-9.638,0,0.249,0.177,0.0,0.13,0.598,79.537
Giri's Song,'Trevor Hall',,spotify:track:5D3sHrOsgJ9imZdTTLjUwP,259427,0.64,0.391,9,-11.187,1,0.0276,0.745,0.0324,0.0962,0.285,103.031
Crazy,'Daniela Andrade',,spotify:track:47jgSvqlKwGyBLPnMfeEZN,242000,0.707,0.336,11,-9.347,0,0.0306,0.237,0.000984,0.116,0.159,98.189
Shalala,'Martin McFaul',,spotify:track:5FbCZaYsRtUO7ptBBfKHZJ,194520,0.809,0.542,2,-9.577,1,0.0345,0.594,0.0197,0.143,0.66,126.796
